ID,Fecha,tipo,categoria,valor,notas
e5411106,17/05/2026,INGRESO,Tatuaje,137000,Luz Milady amiga madre
2a83bbe4,5/05/2026,INGRESO,Tatuaje,150000,Herrera y padres
a5c04e56,5/05/2026,INGRESO,Tatuaje,175000,Sánchez ojo en la mano
3f04fe36,5/05/2026,GASTO,Comida,14200,Almuerzo
8865f89c,5/05/2026,INGRESO,Tatuaje,80000,Tatuaje Paloma y planeta
5bf9fcce,6/05/2026,INGRESO,Piercing,25000,Helix Yefer
e68af84b,6/05/2026,GASTO,Comida,14000,Parba
787144d7,6/05/2026,INGRESO,Tatuaje,50000,Nombre Sebastián barranquilla
3bdd4c5e,6/05/2026,GASTO,Comida,10200,Verduras
50fd030c,6/05/2026,GASTO,Casa,15000,Cesped
ab3fb4bd,6/05/2026,INGRESO,Tatuaje,200000,Sebastián mano cara sonriente
2a2b9148,6/05/2026,GASTO,Casa,4000,Abono
983f5fe6,17/05/2026,INGRESO,Tatuaje,80000,Cobertura
e4a488fc,17/05/2026,INGRESO,Tatuaje,506000,Hombro kevin
ff006d32,17/05/2026,GASTO,Casa,70000,Antejardin
e762507e,17/05/2026,GASTO,Comida,12000,Panes
c4f2838a,18/05/2026,GASTO,Comida,9000,Genovesa abuela
0666260d,18/05/2026,INGRESO,Piercing,80000,Sara arias
aad52f25,1/06/2026,GASTO,Comida,22000,Desayuno
5a7bc290,1/06/2026,GASTO,Casa,946800,Arrendo
29f8f2f1,1/06/2026,GASTO,Negocio,120000,Clases juan
c1cc21a5,1/06/2026,GASTO,Comida,20000,Porron agua
f2b4b07f,1/06/2026,GASTO,Moto,3200,Parqueadero
91bf0d36,1/06/2026,GASTO,Negocio,210000,Agujas de línea
aba3e26a,1/06/2026,GASTO,Moto,1500,Parqueadero
6095db1a,1/06/2026,GASTO,Negocio,12000,Joya Microdermal
dd691bf1,1/06/2026,GASTO,Comida,10900,Pollo platano
4d9579ac,1/06/2026,GASTO,Negocio,3000,Agujas insulina
3110dcc6,1/06/2026,INGRESO,Piercing,100000,Microdermal
c72e1d51,1/06/2026,GASTO,Comida,5200,Parba
2e853e3e,1/06/2026,INGRESO,Tatuajes,180000,Zapata ropa y novia
f973cd1d,2/06/2026,INGRESO,Tatuaje,100000,Alejo cuello
17b0913d,2/06/2026,GASTO,Comida,12200,Almuerzo
95417921,2/06/2026,INGRESO,Tatuaje,100000,Escorpión mano
305f9b9a,2/06/2026,INGRESO,Piercing,10000,Oreja sencilo
5750a5b0,2/06/2026,INGRESO,Tatuaje,150000,Rostro mascota quintero
